customer_id,age,income,employment_type,education,marital_status,region,credit_score,loan_amount,tenure_years,existing_loans,default
C00001,59,231999,Business,Not Graduate,Married,East,719,1643526,2,1,1
C00002,49,274910,Self-Employed,Not Graduate,Married,North,785,854660,10,2,0
C00003,35,364231,Business,Graduate,Single,East,610,635009,2,0,0
C00004,63,894552,Salaried,Graduate,Married,North,547,712746,2,1,0
C00005,28,395917,Salaried,Not Graduate,Married,West,428,843294,10,0,0
C00006,41,358306,Business,Not Graduate,Single,North,561,614396,2,0,1
C00007,59,208341,Salaried,Not Graduate,Single,West,639,141788,20,1,0
C00008,39,329223,Salaried,Graduate,Married,North,793,518239,10,2,1
C00009,43,254022,Salaried,Not Graduate,Married,South,710,294437,15,2,0
C00010,31,281691,Self-Employed,Not Graduate,Single,West,677,1859875,15,0,0
C00011,31,466950,Self-Employed,Graduate,Married,East,613,916572,5,2,0
C00012,44,369341,Salaried,Graduate,Married,East,597,1050467,3,0,0
C00013,56,950527,Business,Not Graduate,Married,East,776,732561,15,0,0
C00014,60,718629,Business,Graduate,Married,East,668,1953586,15,1,0
C00015,44,336381,Salaried,Graduate,Married,South,460,99966,2,0,0
C00016,23,292854,Salaried,Graduate,Married,South,589,235846,10,1,0
C00017,42,824216,Self-Employed,Graduate,Single,Central,572,1371106,1,1,1
C00018,22,933801,Self-Employed,Not Graduate,Married,Central,600,651516,2,1,0
C00019,44,164816,Salaried,Graduate,Single,Central,700,1089524,2,3,1
C00020,64,461291,Salaried,Graduate,Single,Central,640,1244873,20,0,0
C00021,50,395005,Salaried,Graduate,Married,North,643,1508485,10,0,0
C00022,58,592498,Salaried,Not Graduate,Married,West,768,1432917,1,0,1
C00023,22,1060446,Salaried,Not Graduate,Married,East,587,93021,1,2,0
C00024,41,355817,Self-Employed,Graduate,Single,North,817,431059,5,2,0
C00025,53,175025,Self-Employed,Not Graduate,Married,South,589,199333,2,1,0
C00026,32,574096,Self-Employed,Graduate,Single,East,658,470594,20,1,0
C00027,42,826937,Salaried,Graduate,Single,West,624,953606,3,0,0
C00028,64,385890,Self-Employed,Graduate,Married,West,661,826934,15,0,0
C00029,45,322137,Salaried,Not Graduate,Single,South,690,136755,2,2,0
C00030,47,363390,Salaried,Graduate,Married,East,689,979441,3,3,1
C00031,62,648613,Self-Employed,Not Graduate,Married,Central,582,1164906,3,0,0
C00032,48,360588,Self-Employed,Graduate,Married,East,548,752726,10,1,0
C00033,36,512954,Salaried,Graduate,Single,East,875,908754,2,0,0
